event_id,lot_id,license_plate,event_type,event_timestamp,amount_charged,payment_method,camera_id
EVT_09519,LOT_LA_03,NS741XU,ENTRY,2024-01-02 05:39:18,,App,CAM_LOT_LA_03_03
EVT_00359,LOT_SEA_02,LM439TS,ENTRY,2024-02-28 09:08:25,,web,CAM_LOT_SEA_02_01
EVT_24484,LOT_LA_02,NE025WT,EXIT,2024-01-04 13:14:08,11.33,web,CAM_LOT_LA_02_02
EVT_18574,LOT_LA_03,DL182BH,EXIT,2024-01-22 02:49:56,156.37,Web,CAM_LOT_LA_03_02
EVT_14711,LOT_LA_02,TB869ST,ENTRY,2024-02-25 14:35:31,,app,CAM_LOT_LA_02_01
EVT_20226,LOT_LA_02,ES567XA,EXIT,2024-02-21 16:47:04,5.14,App,CAM_LOT_LA_02_02
EVT_14487,LOT_SEA_01,TP879HS,ENTRY,2024-01-06 13:33:15,,app,CAM_LOT_SEA_01_03
EVT_00346,LOT_SEA_02,VH761UX,EXIT,2024-03-18 08:57:39,7.04,text,CAM_LOT_SEA_02_01
EVT_13055,LOT_SEA_01,ZY817VE,ENTRY,2024-02-07 15:18:59,,Web,CAM_LOT_SEA_01_02
EVT_17614,LOT_LA_02,HC617WW,EXIT,2024-02-17 14:48:46,28.0,Web,CAM_LOT_LA_02_03
EVT_08651,LOT_LA_01,PF053HZ,ENTRY,2024-01-27 11:59:29,,APP,CAM_LOT_LA_01_03
EVT_17329,LOT_SEA_02,WS339YS,ENTRY,2024-01-13 11:07:39,,web,CAM_LOT_SEA_02_03
EVT_08092,LOT_SF_01,SG564SM,EXIT,2024-02-19 00:54:56,86.06,App,CAM_LOT_SF_01_03
EVT_01918,LOT_SEA_01,XU141JD,EXIT,2024-03-23 20:41:04,28.76,text,CAM_LOT_SEA_01_01
EVT_07293,LOT_SEA_01,BL061GX,ENTRY,2024-02-24 10:15:04,,App,CAM_LOT_SEA_01_02
EVT_12645,LOT_LA_03,JC458NY,ENTRY,2024-03-09 21:43:16,,app,CAM_LOT_LA_03_04
EVT_12381,LOT_SF_02,PB078BP,ENTRY,2024-03-30 12:18:58,,App,CAM_LOT_SF_02_04
EVT_22586,LOT_SEA_01,KC608VT,EXIT,2024-02-03 14:58:27,19.64,,CAM_LOT_SEA_01_01
EVT_20112,LOT_LA_01,RW911UG,EXIT,2024-03-07 21:07:47,52.9,text,CAM_LOT_LA_01_03
EVT_07491,LOT_LA_02,CT637LW,ENTRY,2024-03-30 20:56:55,,App,CAM_LOT_LA_02_01
EVT_03572,LOT_SF_03,BZ158DK,EXIT,2024-01-21 21:19:34,86.25,web,CAM_LOT_SF_03_01
EVT_16906,LOT_SF_02,CN451AK,EXIT,2024-03-11 19:14:33,55.84,text,CAM_LOT_SF_02_03
EVT_07086,LOT_SF_03,JH519BN,EXIT,2024-03-07 21:22:36,41.88,text,CAM_LOT_SF_03_01
EVT_05291,LOT_SEA_01,ER177XK,ENTRY,2024-03-03 12:51:06,,Web,CAM_LOT_SEA_01_01
EVT_13565,LOT_SF_02,XY327CB,ENTRY,2024-03-02 13:03:01,,web,CAM_LOT_SF_02_01
EVT_23256,LOT_LA_01,AS100FC,EXIT,2024-03-30 21:06:48,52.93,APP,CAM_LOT_LA_01_03
EVT_08299,LOT_SF_01,WB515DU,ENTRY,2024-03-20 09:36:25,,app,CAM_LOT_SF_01_02
EVT_08440,LOT_SF_01,SE386MP,EXIT,2024-02-25 22:27:51,22.6,app,CAM_LOT_SF_01_04
EVT_22199,LOT_LA_03,BG424YJ,ENTRY,2024-02-13 13:49:43,,app,CAM_LOT_LA_03_01
EVT_11859,LOT_SEA_02,CC947AS,ENTRY,2024-01-27 11:40:18,,text,CAM_LOT_SEA_02_01
EVT_03229,LOT_SF_03,PM650KM,ENTRY,2024-01-06 18:44:09,,web,CAM_LOT_SF_03_02
EVT_16736,LOT_SEA_02,TB464ZW,EXIT,2024-01-02 22:14:37,6.26,text,CAM_LOT_SEA_02_02
EVT_02332,LOT_SF_02,EP973CD,EXIT,2024-03-22 17:19:08,49.88,app,CAM_LOT_SF_02_01
EVT_13041,LOT_SF_03,XE010CS,ENTRY,2024-03-11 10:22:48,,App,CAM_LOT_SF_03_04
EVT_21880,LOT_SF_02,SW206VY,EXIT,2024-01-21 14:31:50,6.43,text,CAM_LOT_SF_02_01
EVT_00476,LOT_SF_01,TL196CA,EXIT,2024-01-07 20:46:56,53.98,app,CAM_LOT_SF_01_01
EVT_15124,LOT_SEA_02,PY580AJ,EXIT,2024-02-17 13:59:13,,app,CAM_LOT_SEA_02_03
EVT_24281,LOT_SEA_02,GP884YK,ENTRY,2024-03-10 15:25:57,,text,CAM_LOT_SEA_02_02
EVT_22519,LOT_LA_03,YZ356MT,ENTRY,2024-02-14 11:33:18,,text,CAM_LOT_LA_03_01
EVT_18154,LOT_SEA_02,TY501NM,EXIT,2024-03-03 13:31:03,6.75,App,CAM_LOT_SEA_02_02
EVT_01613,LOT_SF_02,KW308MG,ENTRY,2024-03-31 09:32:36,,app,CAM_LOT_SF_02_04
EVT_21157,LOT_SF_01,SL273MJ,ENTRY,2024-01-20 07:11:38,,web,CAM_LOT_SF_01_01
